# Light curves of Betelgeuse in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes). 
# Last updated on 2022-06-13T04:23:46
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, volume, page (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band (only for Bands 2 and 3). 
# 
#Date (UTC)     ,Band 02,Band 03
2018-05-05 17:20,-------,-------
2018-05-07 17:50, 0.9218,-0.3935
2018-05-10 17:00, 1.0190,-0.4840
2018-05-12 16:50, 1.2525,-0.4412
2018-05-12 17:30,-------,-------
2018-05-14 16:40, 0.7816,-0.4833
2018-05-15 16:40, 0.9303,-0.4813
2018-05-15 17:20, 0.6425,-0.2872
2018-05-17 16:30, 1.0046,-0.3667
2018-05-18 17:10, 0.9624,-0.3215
2018-05-19 16:20, 1.0795,-0.3655
2018-05-20 16:20, 0.8314,-0.5459
2018-05-20 17:00, 0.9345,-0.4837
2018-05-22 16:10, 0.9197,-0.2740
2018-05-25 16:00, 0.7214,-0.2090
2018-05-25 16:40, 0.9303,-0.3248
2018-05-27 15:50, 0.9537,-0.3192
2018-05-28 16:30, 0.7824,-0.4422
2018-05-30 15:40, 0.7007,-0.3800
2018-05-30 16:20, 0.9602,-0.4031
2018-05-31 16:20, 1.0114,-0.4109
2018-06-01 15:30, 0.6905,-0.4843
2018-06-02 16:10, 1.0579,-0.2483
2018-06-04 16:00, 0.9451,-0.3852
2018-06-05 16:00, 0.8684,-0.3050
2018-06-06 15:10, 0.5730,-0.2120
2018-06-07 15:10, 0.9858,-0.4013
2018-06-07 15:50, 0.7805,-0.4200
2018-06-09 15:00, 0.7390,-0.2021
2018-06-09 15:40, 0.9324,-0.5149
2018-06-10 15:40, 0.7309,-0.4766
2018-06-11 14:50, 0.7533,-0.3507
2018-06-12 14:50, 0.8654,-0.1840
2018-06-12 15:30, 0.9822,-0.3378
2018-06-15 15:20, 0.8509,-0.3100
2018-06-16 14:30, 0.9218,-0.3153
2018-06-17 14:30, 0.6922,-0.4258
2018-06-17 15:10, 0.8104,-0.3494
2018-06-19 14:20, 0.7180,-0.3046
2018-06-20 15:00, 0.7024,-0.3121
2018-06-21 14:10, 1.0674,-0.4195
2018-06-22 14:10, 1.0626,-0.2620
2018-06-22 14:50, 0.8430,-0.3109
2018-06-24 14:00, 0.9052,-0.3201
2018-06-26 13:50, 0.8568,-0.3130
