# Light curves of Mira in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite. 
# Last updated on 2024-06-07T01:13:01
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: Spectral irradiance of each band [nW/m^2/micron]. 
# 
#Date (UTC)     ,Band 01    ,Band 02    ,Band 03    ,Band 04    ,Band 05    ,Band 06    ,Band 07    ,Band 08    ,Band 09    ,Band 10    ,Band 11    ,Band 12    ,Band 13    ,Band 14    ,Band 15    ,Band 16    
2021-05-03 13:30,-2.8804E+00, 4.1131E+00,-1.1153E-01, 1.4956E+00, 9.6498E+00, 4.3063E+00, 9.4744E-01, 7.2880E-02, 2.2771E-03, 1.7949E-01,-3.6371E-02,-3.1012E-02,-1.6117E-01, 3.9660E-02, 8.8850E-02,-1.4852E-01
2021-05-05 14:30, 1.3186E+00, 1.4862E+00,-1.8737E+00,-1.8935E+00, 9.1064E+00, 4.7293E+00, 9.3114E-01, 1.9248E-01, 1.1633E-01,-2.8719E-02, 2.9522E-01, 1.8298E-01, 3.3698E-02, 2.0514E-02, 1.9231E-01, 2.7228E-01
2021-05-10 14:10,-5.6723E-01, 3.1384E+00,-2.4920E+00, 3.1262E+00, 7.6891E+00, 4.9955E+00, 1.0019E+00, 1.7597E-02, 1.9127E-01, 2.3627E-01, 1.0778E-01, 1.2110E-01, 5.9458E-02, 7.0682E-02,-6.3290E-02,-1.3277E-01
2021-05-15 13:50, 2.1363E-01, 5.1845E-01, 2.4353E+00, 4.3766E+00, 8.4795E+00, 5.2017E+00, 9.2594E-01, 2.2798E-01, 1.5835E-01, 8.7353E-02, 1.5776E-01,-----------, 6.4728E-02, 8.7562E-03,-2.1365E-02,-1.6202E-01
2021-05-21 12:20,-7.0489E+00, 1.2996E+00,-3.6542E-01, 5.6946E+00, 1.0577E+01, 5.0973E+00, 8.9086E-01, 1.2562E-01,-----------,-----------,-----------,-----------, 2.3199E-03,-8.4329E-02,-----------,-----------
2021-05-26 12:00,-2.5392E+00, 1.3480E+00, 2.5135E+00, 4.0692E+00, 8.6840E+00, 5.1138E+00, 8.8471E-01, 2.4667E-01, 1.0019E-01,-1.0770E-02, 1.4130E-01, 7.0210E-02, 1.4065E-01,-2.3249E-02, 3.0764E-02,-1.0801E-01
2021-05-31 11:40, 3.7570E-01,-2.4194E-01, 1.4482E-01, 5.5591E+00, 9.3367E+00, 3.4061E+00, 9.7080E-01, 1.6445E-01, 6.6034E-02, 1.4718E-01, 8.1225E-02, 1.2876E-01, 6.7396E-02, 2.7351E-02,-6.8159E-02,-1.7327E-01
2021-06-02 12:40,-1.7385E+00, 9.1939E-01,-2.4041E+00,-2.5507E+00, 9.2482E+00, 4.3118E+00, 9.1358E-01, 1.4202E-01, 1.9355E-01, 9.9319E-02, 1.2340E-01, 1.3949E-01, 2.5200E-01, 6.5643E-02, 1.2171E-03, 1.3052E-01
2021-06-07 12:20, 1.1860E+00,-1.2443E-01, 8.3974E-01, 4.6999E+00, 1.1356E+01, 4.6139E+00, 1.0237E+00, 1.9937E-01, 1.3890E-01, 1.1487E-01,-1.1612E-01, 1.0117E-01, 2.5854E-01, 4.3762E-02, 2.2730E-01,-1.9127E-01
2021-06-12 12:00,-1.8122E+00, 5.9449E-01, 2.1881E+00, 2.1031E+00, 9.3321E+00, 4.2075E+00, 1.0895E+00, 2.5415E-01, 1.2296E-01, 2.2855E-01,-1.9096E-01,-----------, 1.6758E-01,-3.3472E-02, 1.3521E-01,-1.6427E-01
2021-06-18 10:30, 3.2929E+00,-2.8204E+00,-1.5470E+00, 3.2221E+00, 7.7712E+00, 4.8556E+00, 9.5552E-01, 2.9116E-01,-----------,-----------,-----------,-----------, 1.6813E-01, 1.4828E-02,-----------,-----------
2021-06-23 10:10, 6.1880E-01,-3.9461E+00, 1.7745E+00, 9.0517E+00, 7.4120E+00, 4.3051E+00, 9.4983E-01, 2.3172E-01, 1.1182E-01, 1.1607E-01, 1.3492E-01, 1.6357E-01,-6.6919E-02, 2.3249E-02, 2.4380E-01, 2.4753E-02
2021-06-28 09:50, 4.5673E-01, 3.8435E+00,-1.2806E+00, 1.0661E+01, 7.6714E+00, 3.9768E+00, 9.0698E-01, 2.8218E-01, 3.4156E-02, 1.9026E-01,-1.4747E-01, 1.6861E-01, 1.6521E-01, 2.1881E-02, 2.0202E-02,-3.4429E-01
2021-06-30 10:50,-2.4457E+00,-5.0463E-01, 2.6609E+00, 8.8421E+00, 9.8151E+00, 4.0756E+00, 9.9941E-01, 2.2051E-01, 1.4345E-01, 2.1659E-01, 1.2652E-01, 1.7015E-01,-2.0487E-01, 1.2171E-01,-9.7629E-02, 3.0604E-01
2021-07-03 09:30,-6.0836E+00,-7.3966E-01, 1.3339E+00, 9.3430E+00, 9.1064E+00,-----------, 1.0034E+00, 2.6162E-01, 1.1158E-01, 8.5219E-02, 2.9881E-01,-----------, 8.6370E-02, 8.5924E-02,-3.6514E-03, 1.1026E-01
