# Light curves of Mira in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes). 
# Last updated on 2024-06-07T01:13:01
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, 6, 930 (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band (only for Bands 2 and 3). 
# 
#Date (UTC)     ,Band 02,Band 03
2018-08-25 07:10,    nan, 5.1500
2018-08-30 06:50,-------,-------
2018-08-31 05:40,    nan,    nan
2018-09-05 05:20,    nan,    nan
2018-09-10 05:00, 6.6702,    nan
2018-09-12 06:00, 3.5704, 4.9175
2018-09-15 04:40, 3.2659, 4.1677
2018-09-17 05:40,    nan, 2.8744
2018-09-22 05:20,    nan,    nan
2018-09-28 03:50, 4.1054, 3.1421
2018-10-03 03:30,    nan,    nan
2018-10-08 03:10,    nan, 4.9389
2018-10-10 04:10, 2.4567,    nan
2018-10-13 02:50, 6.3790,    nan
2018-10-15 03:50, 5.6264,    nan
2018-10-20 03:30,    nan, 2.7977
2018-10-25 03:10,-------,-------
2018-10-26 02:00,-------,-------
2018-10-31 01:40, 3.9516, 4.0079
2018-11-05 01:20, 3.1687, 3.7509
2018-11-07 02:20, 2.9908,    nan
2018-11-10 01:00,    nan, 5.3815
2018-11-12 02:00, 4.9228, 3.8244
2018-11-15 00:40, 3.2842, 2.6251
2018-11-17 01:40, 3.5414,    nan
2018-11-22 01:20, 3.3187, 2.3712
2018-11-23 00:10,-------,-------
2018-11-27 23:50, 4.0149, 3.2400
2018-12-02 23:30, 2.8664, 3.5352
2018-12-07 23:10, 3.4345,    nan
2018-12-10 00:10, 3.9653,    nan
2018-12-12 22:50, 2.8061, 2.4052
2018-12-14 23:50, 2.6672, 2.3686
2018-12-19 23:30, 3.1555,    nan
2018-12-20 22:20,-------,-------
2018-12-25 22:00, 3.8983, 4.3063
2018-12-30 21:40, 3.0613, 2.6766
2019-01-04 21:20, 4.9918, 2.0838
2019-01-06 22:20, 4.3128, 2.9956
2019-01-09 21:00,    nan, 4.0061
2019-01-11 22:00,    nan, 2.6095
2019-01-16 21:40, 4.7820, 2.7311
2019-01-21 21:20,-------,-------
2019-01-22 20:10,-------,-------
2019-01-27 19:50, 3.6040, 3.3632
2019-02-01 19:30, 3.3970, 5.3275
2019-02-03 20:30,-------,    nan
2019-02-06 19:10,    nan, 2.5497
2019-02-08 20:10, 4.4660, 5.1288
2019-02-13 19:50, 2.8125, 3.0014
2019-02-18 19:30,    nan,    nan
2019-02-24 18:00,    nan, 3.3094
2019-03-01 17:40, 3.6190,    nan
2019-03-06 17:20, 3.2991,    nan
2019-03-08 18:20, 4.3516,    nan
2019-03-13 18:00,    nan, 2.9390
2019-03-18 17:40,    nan, 2.5961
2019-03-24 16:10,    nan, 2.9726
2019-03-29 15:50, 3.0613,    nan
2019-04-03 15:30, 7.7077, 3.0015
2019-04-05 16:30,    nan, 2.9061
2019-04-08 15:10,    nan, 4.5590
2019-04-10 16:10,    nan, 2.7754
2019-04-15 15:50, 5.1241,    nan
2019-04-20 15:30,-------,-------
2019-04-21 14:20,-------,    nan
2019-04-26 14:00, 3.6190, 3.6514
2019-05-01 13:40,    nan,    nan
2019-05-06 13:20,    nan, 5.9968
2019-05-08 14:20,    nan,    nan
2019-05-13 14:00,    nan,    nan
2019-05-18 13:40, 5.6588, 3.1962
2019-05-24 12:10, 3.4778,    nan
2019-05-29 11:50,    nan,    nan
2019-05-31 12:50,-------,    nan
2019-06-03 11:30,    nan,    nan
2019-06-05 12:30, 2.6506, 2.7382
2019-06-10 12:10,    nan,    nan
2019-06-15 11:50, 3.8109,    nan
2019-06-21 10:20,    nan, 3.1981
2019-06-26 10:00, 2.9943, 3.5626
2019-07-01 09:40, 2.9178, 3.8904
2019-07-03 10:40, 4.1871, 5.8847
2019-07-08 10:20, 3.9246, 2.8302
2019-07-13 10:00,    nan,    nan
2019-07-19 08:30,    nan,    nan
2019-07-24 08:10,    nan,    nan
2019-07-29 07:50, 2.8639,    nan
2019-07-31 08:50,    nan,    nan
2019-08-03 07:30, 4.6444,    nan
2019-08-05 08:30, 2.9365,    nan
2019-08-10 08:10,    nan, 2.5872
2019-08-12 07:00,-------,-------
2019-08-15 07:50, 3.0229, 3.5039
2019-08-16 06:40,-------,    nan
2019-08-21 06:20,    nan,    nan
2019-08-26 06:00,    nan, 3.4018
2019-08-28 07:00,    nan, 2.5097
2019-08-31 05:40,    nan, 3.7771
2019-09-02 06:40, 4.7531,    nan
2019-09-07 06:20,    nan, 3.9542
2019-09-09 05:00,-------,-------
2019-09-12 06:00, 2.8245, 2.8607
2019-09-13 04:50,-------,-------
2019-09-18 04:30,    nan,    nan
2019-09-23 04:10,    nan, 2.7780
2019-09-25 05:10,-------, 2.2138
2019-09-28 03:50,    nan, 2.1938
2019-09-30 04:50,    nan, 2.1106
2019-10-05 04:30, 4.0820, 1.6086
2019-10-10 04:10,    nan, 3.1677
2019-10-11 03:00,-------,-------
2019-10-21 02:20, 2.8029, 1.5102
2019-10-26 02:00, 2.0504, 1.6583
2019-10-28 03:00, 2.6506, 2.0076
2019-10-31 01:40, 3.5091, 1.9161
2019-11-07 02:20,    nan, 2.3301
2019-11-13 00:50,    nan, 2.1771
2019-11-18 00:30,    nan, 2.9442
2019-11-23 00:10, 2.8489, 2.4058
2019-11-25 01:10, 3.1787, 2.1660
2019-11-27 23:50,    nan, 2.2845
2019-11-30 00:50,    nan, 2.9251
2019-12-05 00:30, 3.3528, 2.5052
2019-12-10 00:10,-------,-------
2019-12-10 23:00,    nan,    nan
2019-12-15 22:40, 4.0668, 1.9812
2019-12-20 22:20, 2.3687, 2.9634
2019-12-22 23:20, 2.7497, 3.2926
2019-12-25 22:00, 3.3180, 3.5837
2019-12-27 23:00,    nan, 2.4226
2020-01-01 22:40, 4.1537, 2.6825
2020-01-06 22:20, 3.0980, 2.8076
2020-01-07 21:10,-------,-------
2020-01-12 20:50,    nan,    nan
2020-01-17 20:30,    nan,    nan
2020-01-19 21:30, 5.9839, 2.4281
2020-01-22 20:10,    nan, 2.9662
2020-01-24 21:10, 3.5941, 2.7444
2020-01-29 20:50, 5.0280, 2.5095
2020-02-03 20:30,    nan, 3.0875
2020-02-09 19:00,    nan,    nan
2020-02-14 18:40, 3.2232,    nan
2020-02-16 19:40,-------,    nan
2020-02-19 18:20, 2.9995, 3.8237
2020-02-21 19:20,    nan, 3.1765
2020-02-24 18:00,    nan,    nan
2020-02-26 19:00,    nan, 5.7320
2020-03-02 18:40,    nan,    nan
2020-03-08 17:10, 4.3615, 4.3239
2020-03-13 16:50, 4.6063,    nan
2020-03-18 16:30,    nan, 2.5096
2020-03-20 17:30,    nan,    nan
2020-03-23 16:10, 4.9062,    nan
2020-03-25 17:10,    nan,    nan
2020-03-30 16:50,    nan, 2.8234
2020-04-04 16:30,-------,-------
2020-04-10 15:00,    nan, 3.2116
2020-04-17 15:40,-------,    nan
2020-04-20 14:20, 5.1241,    nan
2020-04-22 15:20, 4.9918,    nan
2020-04-27 15:00, 2.5578, 5.5148
2020-05-08 13:10, 2.9022, 4.7454
2020-05-13 12:50,    nan, 4.1041
2020-05-18 12:30,    nan,    nan
2020-05-20 13:30,    nan,    nan
2020-05-25 13:10, 3.3767, 3.8605
2020-05-30 12:50,    nan, 2.9729
2020-06-05 11:20,    nan, 4.3641
2020-06-10 11:00, 5.5643,    nan
2020-06-15 10:40, 3.4052,    nan
2020-06-17 11:40, 2.6062, 5.0937
2020-06-22 11:20,    nan, 3.1078
2020-06-27 11:00, 2.8077,    nan
2020-07-03 09:30, 3.8600, 3.0269
2020-07-08 09:10,    nan, 2.4890
2020-07-13 08:50,    nan, 3.3607
2020-07-15 09:50, 4.7389, 2.5581
2020-07-18 08:30, 3.6547, 2.9601
2020-07-20 09:30, 5.6922, 2.8739
2020-07-25 09:10,    nan, 2.6757
2020-07-30 08:50, 7.0695, 2.5631
2020-07-31 07:40,-------,-------
2020-08-05 07:20, 3.4011,    nan
2020-08-06 07:10,-------,-------
2020-08-10 07:00, 3.6757, 3.1848
2020-08-12 08:00, 3.3066, 2.5691
2020-08-15 06:40, 5.7267, 5.9079
2020-08-17 07:40, 2.5905, 3.1314
2020-08-22 07:20, 2.7818, 2.3297
2020-08-27 07:00,    nan, 2.3972
2020-08-28 05:50,-------,-------
2020-09-02 05:30,    nan, 2.1548
2020-09-07 05:10,    nan,    nan
2020-09-09 06:10,-------, 2.3119
2020-09-12 04:50, 2.9527, 3.4286
2020-09-14 05:50,    nan, 2.7801
2020-09-19 05:30, 2.4346, 2.3985
2020-09-24 05:10,    nan, 3.1388
2020-09-25 04:00,-------,-------
2020-09-30 03:40, 2.8338, 1.8872
2020-10-05 03:20, 3.2842, 4.1130
2020-10-10 03:00, 2.4829, 1.8043
2020-10-12 04:00, 2.0797, 1.8765
2020-10-17 03:40, 4.2754, 1.8187
2020-10-22 03:20, 2.5616,    nan
2020-10-28 01:50, 5.9602, 2.6320
2020-11-02 01:30, 5.3970, 3.2395
2020-11-07 01:10, 2.9152, 2.7168
2020-11-09 02:10, 4.3516,    nan
2020-11-12 00:50,    nan, 1.6307
2020-11-14 01:50, 4.6839, 2.9324
2020-11-19 01:30, 2.5827,    nan
2020-11-24 01:10,-------,-------
2020-11-25 00:00,-------,-------
2020-11-29 23:40, 2.8514, 2.5700
2020-12-04 23:20,    nan,    nan
2020-12-07 00:20,    nan,    nan
2020-12-09 23:00, 3.2551, 4.1242
2020-12-12 00:00, 7.3423, 4.0781
2020-12-16 23:40, 3.2842,    nan
2020-12-21 23:20,-------,-------
2020-12-22 22:10,-------,-------
2020-12-27 21:50,    nan, 3.5739
2021-01-01 21:30,    nan, 3.7942
2021-01-03 22:30,-------, 2.6994
2021-01-06 21:10, 3.0650,    nan
2021-01-08 22:10, 3.2207, 3.3982
2021-01-13 21:50, 3.6864, 3.4554
2021-01-18 21:30, 4.4230, 4.3295
2021-01-24 20:00, 3.5274, 2.4125
2021-01-29 19:40,    nan,    nan
2021-02-03 19:20, 2.8006,    nan
2021-02-05 20:20,    nan,    nan
2021-02-08 19:00, 5.3465,    nan
2021-02-10 20:00,    nan, 2.2140
2021-02-15 19:40,    nan, 4.1148
2021-02-21 18:10,    nan, 5.1996
2021-02-26 17:50, 3.7582, 2.9256
2021-03-03 17:30,    nan, 3.5398
2021-03-05 18:30,    nan, 3.5589
2021-03-08 17:10,    nan,    nan
2021-03-10 18:10, 3.9180,    nan
2021-03-15 17:50, 3.7468, 3.2739
2021-03-20 17:30,-------,-------
2021-03-21 16:20,-------,-------
2021-03-26 16:00,    nan, 3.4124
2021-03-31 15:40,    nan, 3.3449
2021-04-02 16:40,-------,    nan
2021-04-05 15:20,    nan, 5.0474
2021-04-07 16:20,    nan, 3.5608
2021-04-12 16:00,    nan, 2.2406
2021-04-17 15:40,    nan, 3.1048
2021-04-23 14:10,    nan,    nan
2021-04-24 15:10,-------,-------
2021-04-28 13:50, 2.6651,    nan
2021-05-03 13:30, 2.5188,    nan
2021-05-05 14:30, 3.6240,    nan
2021-05-10 14:10, 2.8125,    nan
2021-05-15 13:50, 4.7674, 2.5977
2021-05-21 12:20, 3.7697,    nan
2021-05-26 12:00, 3.7300, 2.5634
2021-05-31 11:40,    nan, 5.6620
2021-06-02 12:40, 4.1455,    nan
2021-06-07 12:20,    nan, 3.7537
2021-06-12 12:00, 4.6188, 2.7139
2021-06-18 10:30,    nan,    nan
2021-06-23 10:10,    nan, 2.9414
2021-06-28 09:50, 2.5924,    nan
2021-06-30 10:50,    nan, 2.5015
2021-07-03 09:30,    nan, 3.2512
2021-07-05 10:30, 3.8790,    nan
2021-07-10 10:10,    nan, 1.9522
2021-07-15 09:50, 2.3834, 2.9538
2021-07-16 08:40,-------,-------
2021-07-21 08:20, 2.7318, 1.9682
2021-07-26 08:00,    nan, 1.6066
2021-07-28 09:00,    nan, 1.8186
2021-07-31 07:40, 2.7340, 2.0097
2021-08-02 08:40, 4.1589, 2.2165
2021-08-07 08:20, 3.1169, 1.5078
2021-08-12 08:00, 2.9636, 1.9335
2021-08-13 06:50,-------,-------
2021-08-18 06:30,    nan, 1.6679
2021-08-23 06:10, 3.0171, 1.7134
2021-08-25 07:10,-------, 1.7889
2021-08-28 05:50, 2.6081, 2.1240
2021-08-30 06:50, 2.5115, 2.2258
2021-09-04 06:30, 3.7412, 1.8936
2021-09-09 06:10,    nan, 1.7857
2021-09-15 04:40, 6.2025, 1.9745
2021-09-20 04:20, 6.8516, 2.2439
2021-09-25 04:00, 3.9380, 1.8958
2021-09-27 05:00, 4.8423,    nan
2021-09-30 03:40,    nan, 2.7268
2021-10-02 04:40,    nan, 2.3570
2021-10-07 04:20, 3.4698, 2.3111
2021-10-13 02:50, 3.1189, 3.4167
2021-10-18 02:30,    nan, 3.5508
